SubCode,financial_years,label,primary_worksheet,num_years
STA0260,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Pension cost - other,TAC09 Staff,5
STA0270,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other post employment benefits,TAC09 Staff,5
STA0280,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other employment benefits,TAC09 Staff,5
STA0290,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Termination benefits,TAC09 Staff,5
STA0300,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Temporary staff - external bank,TAC09 Staff,5
STA0310,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Temporary staff - agency/contract staff,TAC09 Staff,5
STA0320,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",NHS charitable funds staff,TAC09 Staff,5
STA0330,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",TOTAL GROSS STAFF COSTS,TAC09 Staff,5
SOC0230,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24","(i) non-controlling interest, and",TAC02 SoCI,5
SOC0240,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",(ii) owners of the parent,TAC02 SoCI,5
SOC0250,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",TOTAL,TAC02 SoCI,5
STA0230,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Salaries and wages,TAC09 Staff,5
STA0240,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Social security costs,TAC09 Staff,5
STA0245,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Apprenticeship levy,TAC09 Staff,5
STA0250,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Pension cost - employer contributions to NHS pension scheme,TAC09 Staff,5
STA0250A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Pension cost - employer contributions paid by NHSE on provider's behalf,TAC09 Staff,5
SOC0150,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other reserve movements,TAC02 SoCI,5
SOC0160,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Fair value gains/(losses) on financial assets mandated at FV through OCI,TAC02 SoCI,5
SOC0170,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Recycling gains/(losses) on disposal of financial assets mandated at FV through OCI,TAC02 SoCI,5
SOC0180,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Foreign exchange gains/(losses) recognised directly in OCI,TAC02 SoCI,5
SOC0190,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",TOTAL COMPREHENSIVE INCOME / (EXPENSE) FOR THE PERIOD,TAC02 SoCI,5
SOC0200,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24","(i) non-controlling interest, and",TAC02 SoCI,5
