TableID,MainCode,SubCode,RowNumber,line_label,category_1,category_2,is_digital_data_it,notes
1,A02CY01,SCI0100A,12,,,,,
1,A02CY01,SCI0110A,13,,,,,
1,A02CY01,SCI0125A,14,,,,,
1,A02CY01,SCI0140A,15,,,,,
1,A02CY01,SCI0160,18,,,,,
1,A02CY01,SCI0170,19,,,,,
1,A02CY01,SCI0180,20,,,,,
1,A02CY01,SCI0240,27,,,,,
1,A02CY01,SCI0240A,25,,,,,
1,A02CY01,SOC0100,30,,,,,
1,A02CY01,SOC0110,31,,,,,
1,A02CY01,SOC0190,42,,,,,
1,A02PY01,SCI0100A,12,,,,,
1,A02PY01,SCI0110A,13,,,,,
1,A02PY01,SCI0125A,14,,,,,
1,A02PY01,SCI0140A,15,,,,,
1,A02PY01,SCI0160,18,,,,,
1,A02PY01,SCI0170,19,,,,,
1,A02PY01,SCI0180,20,,,,,
1,A02PY01,SCI0240,27,,,,,
1,A02PY01,SCI0240A,25,,,,,
1,A02PY01,SOC0110,31,,,,,
1,A02PY01,SOC0190,42,,,,,
1,A03CY01,BAL1100,13,,,,,
1,A03CY01,BAL1110,14,,,,,
1,A03CY01,BAL1115,15,,,,,
1,A03CY01,BAL1180,21,,,,,
1,A03CY01,BAL1190,23,,,,,
1,A03CY01,BAL1200,24,,,,,
1,A03CY01,BAL1240,28,,,,,
1,A03CY01,BAL1250,29,,,,,
1,A03CY01,BAL1260,31,,,,,
1,A03CY01,BAL1270,32,,,,,
1,A03CY01,BAL1300,35,,,,,
1,A03CY01,BAL1320,37,,,,,
1,A03CY01,BAL1330,38,,,,,
1,A03CY01,BAL1350,41,,,,,
1,A03CY01,BAL1390,45,,,,,
1,A03CY01,BAL1400,46,,,,,
1,A03CY01,BAL1410,49,,,,,
1,A03CY01,BAL1420,50,,,,,
1,A03CY01,BAL1460,54,,,,,
1,A03CY01,BAL1500,58,,,,,
1,A03PY01,BAL1100,13,,,,,
1,A03PY01,BAL1110,14,,,,,
1,A03PY01,BAL1115,15,,,,,
1,A03PY01,BAL1180,21,,,,,
1,A03PY01,BAL1190,23,,,,,
1,A03PY01,BAL1200,24,,,,,
1,A03PY01,BAL1240,28,,,,,
1,A03PY01,BAL1250,29,,,,,
1,A03PY01,BAL1260,31,,,,,
1,A03PY01,BAL1270,32,,,,,
1,A03PY01,BAL1300,35,,,,,
