fy,WorkSheetName,SubCode,subcode_label,source_file
2019-20,TAC02 SoCI,SCI0100A,Operating income from patient care activities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SCI0110A,Other operating income,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SCI0125A,Operating expenses,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SCI0140A,OPERATING SURPLUS / (DEFICIT),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SCI0150,Finance income,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SCI0160,Finance expense,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SCI0170,PDC dividend expense,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SCI0180,NET FINANCE COSTS,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SCI0190A,Other gains/(losses),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SCI0200,Share of profit/(loss) of associates/ joint ventures,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SCI0210,Gains/(losses) from transfers by absorption,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SCI0230,Corporation tax expense,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SCI0240,SURPLUS/(DEFICIT) FOR THE YEAR,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SCI0240A,SURPLUS/(DEFICIT) FROM CONTINUING OPERATIONS,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SCI0240B,Surplus/(deficit) from discontinued operations and the gain/(loss) on disposal of discontinued operations,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0100,Impairments,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0110,Revaluations,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0120,Share of comprehensive income from associates and joint ventures,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0125,Fair value gains/(losses) on equity instruments designated at FV through OCI,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0130,Other recognised gains and losses,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0140,Remeasurements of net defined benefit pension scheme liability / asset,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0145,Gain/(loss) on transfers by absorption (modified),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0150,Other reserve movements,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0160,Fair value gains/(losses) on financial assets mandated at FV through OCI,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0170,Recycling gains/(losses) on disposal of financial assets mandated at FV through OCI,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0180,Foreign exchange gains/(losses) recognised directly in OCI,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0190,TOTAL COMPREHENSIVE INCOME / (EXPENSE) FOR THE PERIOD,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0200,"(i) non-controlling interest, and",1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0210,(ii) owners of the parent,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0220,TOTAL,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0230,"(i) non-controlling interest, and",1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0240,(ii) owners of the parent,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC02 SoCI,SOC0250,TOTAL,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1100,Intangible assets,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1110,"Property, plant and equipment",1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1120,Investment property,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1130,Investments in joint ventures and associates,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1140,Other investments / financial assets,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1150,Receivables,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1170,Other assets,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1180,Total non-current assets,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1190,Inventories,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1200,Receivables,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1210,Other investments / financial assets,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1220,Other assets,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1230,Non-current assets for sale and assets in disposal groups,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1240,Cash and cash equivalents,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1250,Total current assets,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1260,Trade and other payables,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1270,Borrowings,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1280,Other financial liabilities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1290,Provisions,1920-nhs-provider-tac-ilustrative-file (1).xlsx
